scenario_id,period_id,election_year,start_inclusive,end_exclusive,party_set
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-052,2022,2025-12-19,2025-12-23,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-053,2022,2025-12-23,2026-03-20,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-001,2014,2015-01-01,2015-03-19,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-002,2014,2015-03-19,2016-03-18,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-003,2014,2016-03-18,2016-03-31,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-004,2014,2016-03-31,2016-04-14,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-005,2014,2016-04-14,2016-04-19,PCdoB;PDT;PMDB;PR;PSD;PT;PTB
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-006,2014,2016-04-19,2016-05-12,PCdoB;PDT;PMDB;PR;PT;PTB
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-007,2014,2016-05-12,2016-10-10,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-008,2014,2016-10-10,2016-10-11,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-009,2014,2016-10-11,2016-10-25,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-010,2014,2016-10-25,2016-10-26,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-011,2014,2016-10-26,2017-04-26,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-012,2014,2017-04-26,2017-04-27,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-013,2014,2017-04-27,2017-08-02,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-014,2014,2017-08-02,2017-08-03,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-015,2014,2017-08-03,2017-10-18,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-016,2014,2017-10-18,2018-03-21,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-017,2014,2018-03-21,2018-04-02,DEM;PMDB;PP;PR;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-018,2014,2018-04-02,2018-04-06,DEM;PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-019,2014,2018-04-06,2018-07-05,PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-020,2014,2018-07-05,2019-01-01,PMDB;PP;PRB;PSD;PSDB;PV
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-021,2018,2019-01-01,2020-02-11,DEM;MDB;NOVO;PP;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-022,2018,2020-02-11,2020-02-18,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-023,2018,2020-02-18,2020-04-16,DEM;NOVO;PP;PSDB;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-024,2018,2020-04-16,2020-04-17,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-025,2018,2020-04-17,2020-05-07,DEM;NOVO;PP;PSDB;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-026,2018,2020-05-07,2020-06-17,DEM;PP;PSDB;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-027,2018,2020-06-17,2020-06-18,DEM;PP;PSD;PSDB;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-028,2018,2020-06-18,2020-09-19,DEM;PP;PSD;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-029,2018,2020-09-19,2020-12-09,DEM;PSD;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-030,2018,2020-12-09,2021-02-12,DEM;PSC;PSD;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-031,2018,2021-02-12,2021-03-31,DEM;PRB;PSC;PSD;PSL
